product_id,name,description,content_url,price,release_date,1,site_url
200,이고진 더쎈 풀업밴드 20806 1단계 탄력밴드 스트레칭,‘이고진’ 브랜드스토어바로가기브랜드스토어에서 더 많은 브랜드 제품과 브랜드 행사 소식을,https://shopping-phinf.pstatic.net/main_3969918/39699181770.20230501055240.jpg?type=f60,1040,2023-04-01,10,https://search.shopping.naver.com/catalog/39699181770
201,잡잡 EVA 폼롤러 60cm,"형태 : 원형재질 : EVA지름 : 15cm길이 : 60cm특징 : 돌기, 미끄럼방지, 엠보싱처리",https://shopping-phinf.pstatic.net/20221110_09_26/c1c5e9da-4767-469f-977a-5690053e364f/350670746.jpg,16900,2021-11-01,11,https://search.shopping.naver.com/catalog/29736464619
202,이화에스엠피 스포틀러 EPP폼롤러 90cm 필라테스 스트레칭 종아리 하드 요가 마사지,"형태 : 원형재질 : EPP(발포폴리프로필렌)지름 : 15cm길이 : 90cm특징 : 돌기, 미끄럼방지, 엠보싱처리",https://shopping-phinf.pstatic.net/20230322_15_21/0179234f-2549-4f6c-b2fa-bfcb6f6ffbb9/-106616751.jpg,15900,2023-02-01,11,https://search.shopping.naver.com/catalog/38265306067
203,나음케어 트라택 필라테스 폼롤러 원형 EPP 90cm,폼롤러,https://shopping-phinf.pstatic.net/main_3854221/38542210173.20230310093132.jpg?type=f640,19020,2023-03-01,11,https://search.shopping.naver.com/catalog/38542210173
204,EVA 폼롤러 미니 얇은 하드 필라테스폼롤러 종아리마사지 슬림 목스트레칭,폼롤러,https://shopping-phinf.pstatic.net/main_3916028/39160280370.20230404215537.jpg?type=f640,29800,2023-04-01,11,https://search.shopping.naver.com/catalog/39160280370
205,고무나라 EVA 폼롤러 90cm,"형태 : 원형재질 : EVA지름 : 15cm길이 : 90cm특징 : 돌기, 미끄럼방지, 엠보싱처리",https://shopping-phinf.pstatic.net/20220831_17_20/e50f7336-a44c-4fd2-a5e2-305e08d5b0ce/-327893900.jpg,20900,2021-11-01,11,https://search.shopping.naver.com/catalog/29590345618
206,에이치에스헬쓰 에이치닷피트니스 폼롤러 EVA 피트니스 돌기형 33cm,폼롤러,https://shopping-phinf.pstatic.net/main_3375375/33753753238.20220729100703.jpg?type=f640,12900,2022-07-01,11,https://search.shopping.naver.com/catalog/33753753238
207,오짐 EVA 폼롤러 60cm,"형태 : 원형재질 : EVA지름 : 15cm길이 : 60cm특징 : 돌기, 미끄럼방지, 엠보싱처리",https://shopping-phinf.pstatic.net/main_3357641/33576417618.20221117085722.jpg?type=f640,17900,2022-07-01,11,https://search.shopping.naver.com/catalog/33576417618
208,이고진 폼롤러 EPP 리셋폴 90cm,"형태 : 원형재질 : EPP(발포폴리프로필렌)지름 : 15cm길이 : 90cm특징 : 미끄럼방지, 엠보싱처리",https://shopping-phinf.pstatic.net/20230201_09_15/55f37faf-3139-4444-8adf-86684d33ad8a/-1557786615.jpg,14960,2017-06-01,11,https://search.shopping.naver.com/catalog/11780466199
209,독일 블랙롤 미니 미니폼롤러 발마사지,폼롤러,https://shopping-phinf.pstatic.net/main_3978717/39787174753.20230504125537.jpg?type=f640,14870,2023-05-01,11,https://search.shopping.naver.com/catalog/39787174753
